preceding_group,letter,percent
ab,c,0.020689655172413793
ab,j,0.020689655172413793
ab,î,0.013793103448275864
ab,i,0.006896551724137932
ab,h,0.006896551724137932
ab,é,0.006896551724137932
ab,ê,0.006896551724137932
ab,l,0.006896551724137932
men,t,0.9126016260162602
men,c,0.020325203252032523
men,s,0.016260162601626015
men,a,0.014227642276422765
men,d,0.010162601626016262
men,é,0.010162601626016262
men,e,0.008130081300813007
men,o,0.003048780487804878
men,u,0.003048780487804878
men,k,0.001016260162601626
men,ç,0.001016260162601626
eme,n,0.9783236994219654
eme,u,0.008670520231213874
eme,t,0.005780346820809249
eme,r,0.004335260115606937
eme,l,0.0014450867052023123
eme,s,0.0014450867052023123
sem,e,0.7294117647058823
sem,b,0.21764705882352942
sem,a,0.023529411764705882
sem,i,0.011764705882352941
sem,é,0.011764705882352941
sem,o,0.0058823529411764705
sse,r,0.3276836158192091
sse,m,0.2570621468926554
sse,n,0.1440677966101695
sse,s,0.09887005649717513
sse,u,0.08192090395480227
sse,t,0.019774011299435026
sse,l,0.01694915254237288
sse,a,0.014124293785310736
sse,z,0.014124293785310736
sse,-,0.005649717514124294
sse,i,0.005649717514124294
sse,p,0.005649717514124294
sse, ,0.002824858757062147
sse,e,0.002824858757062147
sse,y,0.002824858757062147
ndo,n,0.42857142857142855
ndo,r,0.16666666666666669
ndo,u,0.14285714285714288
ndo,l,0.09523809523809523
ndo,m,0.07142857142857144
ndo,s,0.047619047619047616
ndo,c,0.023809523809523808
ndo,y,0.023809523809523808
and,e,0.34673366834170855
and,a,0.19597989949748743
and,i,0.17587939698492464
and,o,0.11557788944723618
and,r,0.05025125628140704
and,é,0.04020100502512562
and,s,0.02512562814070352
and,-,0.010050251256281405
and,u,0.010050251256281405
and,y,0.010050251256281405
and,h,0.005025125628140703
and,j,0.005025125628140703
and,t,0.005025125628140703
and,w,0.005025125628140703
ban,d,0.26666666666666666
ban,a,0.2
ban,q,0.13333333333333333
ban,g,0.10666666666666666
ban,c,0.08
ban,i,0.06666666666666667
ban,n,0.05333333333333333
ban,k,0.026666666666666665
ban,l,0.026666666666666665
ban,e,0.013333333333333332
ban,j,0.013333333333333332
ban,t,0.013333333333333332
nan,t,0.648
nan,c,0.22399999999999998
nan,i,0.064
nan,d,0.032
nan,e,0.016
nan,a,0.008
nan,o,0.008
nna,i,0.46601941747572817
nna,n,0.13592233009708737
nna,g,0.11650485436893204
nna,b,0.07766990291262137
nna,î,0.05825242718446602
nna,l,0.04854368932038835
nna,d,0.02912621359223301
nna,t,0.02912621359223301
nna,r,0.01941747572815534
nna,s,0.00970873786407767
nna,u,0.00970873786407767
onn,e,0.5364077669902912
onn,a,0.23786407766990292
onn,é,0.1092233009708738
onn,i,0.06310679611650485
onn,u,0.03640776699029127
